sah,en
аайы,each
аар-маар,stupid
аах-маах,stupid
ааһыган,transient
аб-аһыы,extremely sour
аҕа,old
аҕыйах,lesser
айаас,wild
акаары,stupid
ала,skewbald
аламаҕай,affable
албас,cunning
аллаҕар,with mouth wide open
аллараа,low
алтыс,sixth
алыс,excessive
ама,simple
анагыскы,next
аппараах,very wide
аптамаахтык,automatic [<Russ. автоматик]
араас,different
араҕас,yellow
арбаҕар,messy-haired
астаах,substantial
астык,enjoyable
атын,other
ахтаах,rancid
аһаҕас,open
аһыныгас,compassionate
аһыныык,pitiful
аһыы,sour
ачаа,spoiled
аччыгый,small
аччык,hungry
баай,rich
баай дуол,rich
багдаҕар,broadshouldered
баллырҕас,blabbering
балыгымсак,fish-loving
бараан,dark
барбах,insignificant
бары,all
барымтыа,strong (of tea)
басса,this much
бастакы,first
бастыҥ,first
баһаам,abundant
баһырҕас,buzzing
бииллэр,well known
билигэс,curious
биһирэммит,popular
болоорхой,blurry
бор,undemanding with respect to food
бороҥ,gray/grey
боростуой,simple
борук-сорук,half-light
босхо,free
бөҕө,strong
бөдөҥ,big
булугас,resourceful
булумтуо,able to find
буортулаах,harmful
буос,pregnant (of animals)
буустаах,icy
бүтүн,whole
бүтэй,closed
бүтэй,closed
бүтэҥи,rather closed
бүтэһих,final
былаа,arch. long
былыргы,ancient
былыргытааҕы,pertaining to ancient times
бырдах,impure
бырыһыана,per cent [<Russ. процент]
быстах,intermittent
бытаан,slow
бытархай,small
бытархай,small
быһа,short
быччас,different
бычыкай,little
бэйэмсэк,selfish
бэкигир,lean
бэлиэтэммит,joined
бэлэм,ready
бэлэн,ready
бэргэн,accurate
гэннэ,behind
далан,reckless
дириҥ,deep
доҕолоҥ,lame
дөбөҥ,fast
дөйүө,sluggish
дуолан,vast fierce
дыды,similar
дьадаҥы,poor
дьайҕаа,clear
дьалбаа,absent-minded
дьиибэ,unusual
дьикти,strange
дьиҥ,TRUE
дьиэ таһыгар,around the house
дьоллоох,happy
дьонумсах,sociable
дьороҕой,cunning
дьөлөркөй,full of holes
дьүдьэх,skinny
дьүлэй,deaf
дьэҥкир,clear
дэҥ,rare
дэп-дэлэй,very abundant
иб-итии,very hot
иитиилээх,loaded (of a gun)
иитиэх,adopted
ииттийэх,adopted
иккэн,both
илдиркэй,falling to pieces
илэ,clear
имигэс,flexible
интэриэһинэй,interesting [<Russ. интересный]
инчэҕэй,wet
истигэн,obedient
истимтиэ,able to listen/obey
истиҥ,insincere
итигэс,hot
итирик,drunk
иччитэх,abandoned
ичэгэс,warm
килбик,timid
кирдээх,dirty
киэҥ,wide
киэҥ- киэҥ,very wide
киэһээ,nocturnal
көдьгө,alienated
көмүскэс,defensive
көннөрү,simple
көнө,straight
көп,fluffy
